ozzy-osbourne	140	2569	18070	4.2	('dont', 280)	('dont_know', 42)	('rock_rock_rock', 21)
tool	65	2182	9122	4.17	('this', 123)	('dr_love', 41)	('calling_dr_love', 21)
anthrax	98	2586	15435	3.71	('what', 164)	('brother_brother', 36)	('brother_brother_brother', 21)
tina-turner	54	1482	7768	4.27	('love', 146)	('baby_baby', 19)	('never_wildest_dreams', 18)
britney-spears	121	2134	24846	3.85	('baby', 440)	('baby_baby', 129)	('baby_baby_baby', 89)
travis-tritt	55	1823	8041	5.27	('but', 110)	('travis_tritt', 22)	('put_some_drive', 9)
voivod	62	2225	6428	3.23	('this', 88)	('this_world', 10)	('not_too_much', 5)
bob-dylan	340	7208	65049	5.36	('he', 651)	('no_more', 74)	('when_gonna_wake', 27)
sammy-kershaw	58	1794	9045	4.92	('her', 134)	('dont_know', 21)	('look_what_did', 17)
tracy-lawrence	85	2125	10789	5.95	('but', 151)	('repeat_chorus', 29)	('if_good_die', 12)
smash-mouth	83	2547	12115	4.59	('get', 139)	("i've_got", 25)	('cant_get_enough', 16)
shakira	91	3036	17796	4.91	('que', 617)	('que_no', 57)	('ya_he_ya', 22)
buckcherry	36	1101	4312	6.68	('love', 100)	('mind_love', 16)	('pre_chorus_chorus', 14)
bon-jovi	166	2965	30225	4.69	('all', 340)	('dont_wanna', 47)	('dont_wanna_fall', 39)
dolly-parton	193	3086	26688	4.77	('love', 378)	('repeat_chorus', 82)	('la_la_la', 64)
dream-theater	78	2925	13624	3.76	('all', 169)	('lyrics_by', 29)	('by_dream_theater', 16)
rage	208	4709	30580	4.46	('they', 300)	('p_wagner', 132)	('by_p_wagner', 112)
borknagar	32	1360	3295	3.87	('by', 46)	('have_seen', 11)	('see_fear_so', 6)
mekong-delta	35	1471	5314	4.23	('all', 82)	('mekong_delta', 19)	('mekong_delta_j', 14)
aaron-tippin	52	1546	8198	5.56	('but', 116)	("i've_got", 19)	('lovin_into_an', 12)
tears-for-fears	76	1909	8734	3.94	('no', 106)	('wake_up', 29)	('life_suicide_ranks', 14)
the-cure	142	2177	16196	3.62	('all', 253)	('dont_want', 38)	('shake_shake_shake', 18)
yes	157	3120	23865	4.1	('all', 415)	('diddit_diddit', 72)	('diddit_diddit_diddit', 60)
terri-clark	39	1231	5558	4.62	('but', 86)	('not_what', 13)	('not_what_wanted', 13)
westlife	167	2318	28934	3.95	('all', 582)	("it's_all", 69)	("it's_all_about", 40)
foo-fighters	110	1929	11652	3.9	('one', 189)	('getting_tired', 37)	('low_as_go', 26)
faith-hill	88	1970	13508	4.17	('love', 307)	('way_love', 56)	('yeah_yeah_yeah', 23)
randy-travis	68	2024	9319	5.02	('love', 116)	('come_back', 14)	('all_night_long', 12)
elegy	44	1460	4486	4.77	('his', 49)	('vocal_melody', 9)	('lyrics_vocal_melody', 9)
metal-church	41	1749	6535	5.02	('all', 102)	('k_vanderhoof', 30)	('k_vanderhoof_c', 17)
stratovarius	69	1336	5621	4.77	('will', 75)	('so_much', 14)	('so_much_more', 8)
live	162	4781	33569	4.65	('all', 419)	('brother_marquis', 129)	('fresh_kid_ice', 97)
alan-jackson	138	2629	17871	4.55	('love', 275)	('come_from', 26)	('where_come_from', 24)
depeche-mode	126	2261	11670	3.3	('all', 175)	("you've_got", 44)	('got_work_hard', 31)
gin-blossoms	35	1042	4289	4.98	('all', 80)	('jesse_valenzuela', 16)	('she_knows_she', 12)
annihilator	73	2219	8800	5.13	('all', 96)	("it's_time", 27)	('magic_man_magic', 12)
